rotten_id	title	year	mpaa_rating	runtime	release_theater	release_dvd	critics_rating	critics_score	audience_rating	audience_score	reviews_num
459358075	Code Name: The Cleaner	2007	PG-13	91	2007-01-05	2007-04-24	4	Rotten	38	Spilled	83
414820730	Freedom Writers	2007	PG-13	123	2007-01-12	2007-04-17	69	Fresh	87	Upright	133
343353088	Alpha Dog	2006	R	118	2007-01-12	2007-05-01	55	Rotten	67	Upright	145
485429740	Primeval	2007	R	94	2007-01-12	2007-06-12	19	Rotten	32	Spilled	55
450789491	Stomp the Yard	2007	PG-13	114	2007-01-12	2007-05-18	26	Rotten	82	Upright	97
437925606	The Hitcher	2007	R	84	2007-01-19	2007-05-01	21	Rotten	53	Spilled	100
450770250	Blood and Chocolate	2007	PG-13	98	2007-01-26	2007-06-12	11	Rotten	52	Spilled	76
387348368	Catch and Release	2007	PG-13	111	2007-01-26	2007-05-08	21	Rotten	55	Spilled	136
771249677	Epic	2013	PG	102	2013-05-24	2013-09-20	64	Fresh	66	Upright	117
387399996	Smokin' Aces	2007	R	109	2007-01-26	2007-04-17	29	Rotten	62	Upright	159
387354859	Because I Said So	2007	PG-13	101	2007-02-02	2007-05-08	5	Rotten	66	Upright	155
472231908	The Messengers	2007	PG-13	90	2007-02-07	2007-06-05	12	Rotten	44	Spilled	87
463044103	Hannibal Rising	2007	R	121	2007-02-09	2007-05-29	15	Rotten	56	Spilled	147
364557026	Norbit	2007	PG-13	102	2007-02-09	2007-06-05	9	Rotten	53	Spilled	123
462957579	Daddy's Little Girls	2007	PG-13	100	2007-02-14	2007-06-12	26	Rotten	81	Upright	53
387364512	Music and Lyrics	2007	PG-13	96	2007-02-14	2007-05-08	62	Fresh	68	Upright	172
355028245	Starter for 10	2006	PG-13	96	2006-02-23	2007-07-31	89	Certified Fresh	66	Upright	78
520613707	Breach	2006	PG-13	110	2007-02-16	2007-06-12	84	Certified Fresh	67	Upright	182
387371589	Bridge to Terabithia	2007	PG	94	2007-02-16	2007-06-19	84	Certified Fresh	70	Upright	147
364555500	Ghost Rider	2007	PG-13	110	2007-02-16	2007-06-12	26	Rotten	48	Spilled	136
398053947	The Abandoned	2007	R	99	2007-02-23	2007-06-19	38	Rotten	43	Spilled	36
493738063	Amazing Grace	2007	PG	116	2007-02-23	2007-11-13	70	Fresh	85	Upright	126
357424957	The Astronaut Farmer	2007	PG	104	2006-10-15	2007-07-10	57	Rotten	50	Spilled	135
493912277	Reno 911!: Miami	2007	R	80	2007-02-23	2007-06-19	34	Rotten	51	Spilled	95
484814600	Black Snake Moan	2007	R	115	2007-03-02	2007-06-26	66	Fresh	69	Upright	157
450816743	Wild Hogs	2007	PG-13	99	2007-03-02	2007-08-14	14	Rotten	62	Upright	140
358188521	Zodiac	2007	R	157	2007-03-02	2007-07-24	89	Certified Fresh	76	Upright	232
344023668	300	2007	R	116	2007-03-09	2007-07-31	60	Fresh	89	Upright	226
359855346	The Ultimate Gift	2007	PG	117	2006-10-20	2007-08-21	32	Rotten	85	Upright	61
562878940	Dead Silence	2006	R	90	2007-03-16	2007-06-26	21	Rotten	52	Spilled	77
579350060	I Think I Love My Wife	2007	R	93	2007-03-16	2007-08-07	19	Rotten	41	Spilled	115
371353718	Premonition	2007	PG-13	96	2007-03-12	2005-07-05	8	Rotten	50	Spilled	162
554076128	Pride	2007	PG	108	2007-03-14	2007-06-26	45	Rotten	72	Upright	110
387409895	Reign Over Me	2007	R	124	2007-03-23	2007-10-09	64	Fresh	82	Upright	153
462977108	Shooter	2007	R	125	2007-03-23	2007-06-26	48	Rotten	80	Upright	148
387555583	TMNT	2007	PG	86	2007-03-23	2007-08-07	34	Rotten	61	Upright	118
512880935	Blades of Glory	2007	PG-13	93	2007-03-30	2007-08-28	69	Fresh	69	Upright	183
501914114	The Lookout	2007	R	99	2007-03-30	2007-08-14	87	Certified Fresh	74	Upright	166
387261632	Meet the Robinsons	2007	G	96	2007-03-30	2007-10-23	66	Fresh	74	Upright	136
462989368	Are We Done Yet?	2007	PG	92	2007-04-04	2007-08-07	8	Rotten	51	Spilled	96
486314988	Firehouse Dog	2007	PG	111	2007-04-04	2007-07-31	38	Rotten	62	Upright	85
387529107	The Reaping	2007	R	99	2007-04-05	2007-10-16	8	Rotten	50	Spilled	137
571147544	The Hoax	2007	R	115	2007-04-06	2007-10-16	85	Certified Fresh	57	Spilled	156
554237964	Disturbia	2007	PG-13	104	2007-04-13	2007-08-07	68	Fresh	78	Upright	173
387541669	Pathfinder	2007	R	99	2007-01-11	2007-07-31	11	Rotten	36	Spilled	77
462963908	Perfect Stranger	2007	R	109	2007-04-13	2007-08-21	11	Rotten	52	Spilled	144
671223000	Redline	2007	PG-13	93	2007-04-13	2007-08-21	0	Rotten	47	Spilled	27
465555209	Slow Burn	2007	R	93	2007-04-13	2007-07-24	12	Rotten	56	Spilled	33
632318478	Fracture	2007	R	113	2007-04-20	2007-08-14	72	Certified Fresh	73	Upright	179
387405167	Hot Fuzz	2006	R	121	2007-04-20	2007-07-31	91	Certified Fresh	89	Upright	199
